MonthlySpend,PurchaseFrequency
486.95747227681295,2
389.31638207764195,2
301.90272453544856,1
338.16328774588305,10
472.47600031602224,8
432.140858881642,6
221.20790184890697,6
237.42103137680533,7
194.5076224404172,6
489.70623380556566,10
401.5733904508751,10
138.0642481834941,6
198.58866954644685,8
375.1174154706591,2
134.2074232819902,1
438.9038489061039,9
397.5299432455596,9
283.52171213978045,10
234.44213864905518,7
201.61332764913635,4
363.7540185062898,4
167.15333806029537,1
107.1166778210634,2
453.6723837588654,3
223.14828252630468,7
115.1155858082383,6
349.6688757753397,10
330.78605092241935,6
499.7956967244814,5
298.749836214286,7
75.86121754873562,3
107.246587077054,4
256.247693250383,3
63.653951452593375,4
246.89721973212195,7
289.2502486390615,5
61.839174974365164,7
208.62246375734318,1
417.2699959063101,4
353.21498748084355,3
449.5406188986072,3
359.55318156278196,6
98.89096270962317,10
226.65799744837133,1
172.66811082496787,7
68.46736360874195,2
196.1093082222039,10
341.0718454833352,1
452.43693124444883,5
268.6013419724047,8
170.9353016490455,3
216.5223238479347,2
427.8399677382674,2
142.66818681333154,5
70.40109043490573,10
282.38631127324766,1
268.7918182775977,10
87.24415788595205,1
433.73400268436274,3
469.8081224617083,7
281.2084295760077,7
425.97700672467323,2
236.60966435658634,7
362.61792687859185,7
364.32541620580764,7
87.15581358316754,10
111.30327620915818,9
473.3033669636197,10
407.04569637673586,4
75.5261028571562,3
274.16206690653667,8
313.5785425431965,3
373.6980923569793,7
213.11528546195487,1
128.95710567143797,4
68.09198189162872,2
383.8311468186477,4
59.120254395036085,2
50.08414115134931,3
475.66670488577756,7
456.70694526206034,7
226.3379182841679,9
111.37059397972243,10
280.3857974492106,10
221.69266418699624,5
396.0070075345872,10
417.4513966461846,4
229.53829265360707,4
51.15238417753079,6
356.92238072039515,4
411.8475744488081,8
349.6724949237433,7
273.31412758300297,6
423.59483435694153,7
205.12685702964777,4
139.0877886353491,7
474.3620635667203,2
443.31355298198815,8
440.0599206979034,9
69.54815829423134,4
181.91858704350932,9
418.29067315062395,7
75.44907370402,9
451.3246110733475,5
138.0449693992358,9
228.58153028971105,4
361.9429571002701,9
451.53380666470207,5
411.9908449343427,9
332.6275647842644,3
300.7159709823938,2
221.1651003959896,3
101.51161856274545,1
116.14704875765335,7
88.58210437879163,5
281.858552341116,2
97.77453855052366,4
441.2510756475905,4
275.7965269939277,6
325.4555246037797,6
55.035631839362594,7
67.48487268339937,9
241.4900988830431,2
274.6038478876577,5
330.0229309782522,9
326.4680134760819,6
375.05041475247293,1
168.02683643301498,3
251.85126132067327,3
187.36085906692924,2
131.34638502999508,4
353.92032017369513,4
259.99139207126257,1
416.2422272755826,1
489.93898262549715,9
149.43936257095842,8
306.6368866290821,8
52.16942592125014,3
370.1516529996158,2
146.48846446879998,10
109.88713918018557,7
272.65025605201856,4
414.95839856337614,1
241.3883614223951,6
179.16939294002051,8
163.74781720714338,9
380.3220823191624,7
458.75854190390174,8
120.0508314989182,8
124.41678005108548,6
321.2833940794974,10
374.61784667533294,3
319.7669235357535,10
282.09634248683216,6
378.5215653565051,2
457.13504681077313,2
320.3979258507995,9
437.650220606813,4
316.2238287515501,5
208.58470710558802,3
344.40429832580367,3
188.80691964907,5
440.6563567923996,4
370.9512165832065,4
305.48379579282266,8
318.03097903619386,7
93.41464448803069,6
496.91066080292336,1
148.97358650346354,6
320.743625285707,9
298.1646701775378,2
179.6326829078834,8
323.89393784472674,10
114.04638019908433,4
307.45856179453267,6
120.66034185622985,6
87.86840211475952,2
291.32892710855083,8
76.37896185454755,4
68.52815589454106,2
448.4870212185928,3
74.2342397018079,6
368.16717213558644,2
482.3883497836515,2
245.92887473688393,1
120.62107430138212,9
402.98125022028745,1
391.23639244282697,8
425.51029081240125,8
455.3995491153839,5
274.8233049897842,6
191.3397101440444,2
157.6081015259751,2
460.3006581067986,10
188.9958795944939,4
181.84133093374652,9
398.1397088352025,3
405.05734463885557,7
284.5438883620971,4
192.04489086937872,8
442.55997518538106,6
106.38365594356338,6
155.86966291102766,9
182.5929112873589,10
303.2735700543248,1
142.0313162672246,8
124.70632660366506,3
85.93291462742958,6
459.6102260428177,3
349.96165798216435,9
133.0982435032148,4
188.34217989013527,5
412.38443176788144,2
151.53014479480112,1
309.4932146743859,7
485.7296535947033,2
465.79076571737716,8
87.03271833070423,2
420.53756794762097,7
364.9948375424737,6
273.2314117940991,8
310.5618890248862,2
433.38588632159934,2
326.9860681703145,4
347.59769251088983,3
265.6079436829864,8
216.0925373900103,7
462.375363380617,3
250.91278600819436,3
130.55276646333118,9
402.87461382301166,2
180.25383391623487,1
167.85565839063753,10
406.9400906260908,1
122.90940974434312,4
244.12126011296752,9
156.29861195916507,10
462.02966643799124,5
398.6326790653424,5
459.7469155448377,1
107.71919158252052,7
438.44462501268686,1
260.8160232822047,4
424.7647172031148,10
373.3979112125153,1
182.90319149754205,3
465.29877623372295,5
240.45841697393337,1
367.1888079403496,5
490.15640195392916,8
248.22277080577987,10
498.3362130981309,10
212.72702486586593,2
450.3253135073617,1
386.32513806958616,7
449.2080489704156,2
380.21090743212665,1
235.46793448546376,6
320.2473506192549,1
329.9444243121264,2
123.89729378266775,2
352.29205446738916,9
354.805967499267,4
252.83444065379217,3
270.49582924228,8
313.0776601368236,3
260.77256419990476,6
205.9231713005306,5
140.844199134495,2
273.32083570109785,5
305.0453740474992,4
267.90388474441204,1
496.82696411192813,3
68.46741189497355,1
186.6195963453085,6
441.5751267990825,9
359.65702699383087,3
465.68281254982975,1
371.7884292738483,5
268.81951812222337,8
498.95101501521714,2
150.69193545129914,7
116.9245376036276,7
374.83674404768124,6
191.12488473784995,7
111.35788393907497,3
207.35766530586244,1
224.29142042790733,9
265.70975800619374,2
72.95699559728398,10
117.83524761408539,8
373.5431849722536,3
414.724727043,2
219.7955238702708,5
198.82909911460226,8
387.86878660784726,5
374.84578130850485,6
292.79551825301314,3
429.33283766423546,10
328.9398305270262,10
482.7174257705641,5
496.3257872477514,7
496.3453622667451,5
58.111057958580915,2
476.4271797045125,10
463.7816856193382,8
473.45038459881584,10
409.3409878197973,5
335.5611307990154,7
361.11073473992934,9
232.55863553232024,8
336.1270887909651,4
163.7307963791642,6
273.7015997867703,7
498.79643013636075,5
119.65522272575063,3
260.1754011149517,10
249.94199804713705,4
82.89888331195498,10
65.9050942269122,5
212.87532066031963,5
313.30873683202276,7
447.89913279140586,8
299.7898563724559,10
111.47842631280318,4
434.75790053886834,5
81.10501038928467,7
263.3923444212022,1
478.75289016329566,3
140.2955939733809,4
193.8392315348737,1
228.24817544201153,8
112.68697050116424,3
398.3471839632546,4
236.48047297360642,5
72.12399707990204,1
413.17840714552415,7
165.9821899427294,4
132.14884039444183,3
81.14747532155867,4
411.6189280646706,3
475.5253368323441,3
464.3757753161152,1
489.6794465056434,5
472.7655029221782,6
