MonthlySpend,PurchaseFrequency
15000, 18
1000, 64
14000, 57
12000, 25
11000, 22
13000, 26
9000, 34
16000, 14
10000, 20
14000, 33
5000, 19
4000, 71
5000, 90
15000, 46
3000, 62
13000, 22
17000, 45
16000, 44
18000, 28
6000, 46
13000, 18
17000, 44
7000, 46
15000, 18
13000, 15
14000, 16
12000, 24
14000, 16
6000, 71
10000, 72
14000, 28
16000, 14
16000, 46
11000, 73
1000, 73
13000, 14
15000, 18
18000, 47
13000, 33
16000, 36
15000, 25
15000, 20
16000, 19
15000, 22
17000, 16
17000, 26
14000, 20
15000, 19
7000, 71
17000, 56
18000, 77
14000, 18
15000, 26
2000, 60
8000, 73
16000, 58
15000, 47
17000, 60
8000, 73
15000, 35
16000, 68
15000, 71
14000, 18
16000, 21
17000, 16
17000, 26
15000, 14
14000, 23
17000, 65
16000, 45
14000, 21
15000, 21
18000, 16
17000, 65
16000, 13
16000, 23
19000, 67
19000, 68
18000, 62
15000, 13
13000, 20
15000, 14
18000, 62
18000, 65
15000, 19
17000, 61
17000, 63
18000, 69
15000, 20
17000, 61
18000, 69
19000, 65
17000, 16
16000, 16
15000, 13
18000, 22
16000, 12
17000, 27
15000, 22
16000, 22
18000, 28
16000, 15
14000, 21
16000, 19
18000, 60
17000, 71
14000, 17
15000, 19
19000, 66
19000, 53
16000, 20
16000, 18
17000, 17
17000, 23
20000, 65
14000, 27
17000, 60
16000, 21
18000, 16
16000, 65
19000, 66
16000, 19
15000, 20
16000, 70
13000, 73
16000, 48
15000, 23
15000, 22
18000, 66
16000, 21
16000, 15
16000, 45
19000, 68
18000, 72
17000, 69
15000, 14
14000, 14
18000, 54
13000, 72
17000, 13
15000, 24
18000, 69
16000, 21
17000, 61
16000, 17
14000, 19
17000, 69
15000, 22
17000, 71
18000, 76
16000, 16
15000, 25
16000, 20
17000, 23
15000, 15
17000, 20
16000, 20
17000, 19
16000, 15
14000, 16
16000, 72
15000, 19
16000, 18
17000, 71
